"error","timepoint","model","stock","stock_type"
0.00495914066263266,216,"GP","PSX","health care"
0.0487515324941574,217,"Linear","PSX","health care"
0.00989378792677055,217,"GP","PSX","health care"
0.0497421483187826,218,"Linear","PSX","health care"
0.00938083334273539,218,"GP","PSX","health care"
0.0438274429357554,219,"Linear","PSX","health care"
0.006249649981029,219,"GP","PSX","health care"
0.0511506500382611,220,"Linear","PSX","health care"
0.00849247345524347,220,"GP","PSX","health care"
0.0468929420389461,221,"Linear","PSX","health care"
0.00619990809241618,221,"GP","PSX","health care"
0.0495825856904412,222,"Linear","PSX","health care"
0.00647507170186014,222,"GP","PSX","health care"
0.0496231105332458,223,"Linear","PSX","health care"
0.00590838855633976,223,"GP","PSX","health care"
0.0421881106732088,224,"Linear","PSX","health care"
0.00344535804196038,224,"GP","PSX","health care"
0.0552364715490108,225,"Linear","PSX","health care"
0.00701039512554549,225,"GP","PSX","health care"
0.0490613096905366,226,"Linear","PSX","health care"
0.00423911150184495,226,"GP","PSX","health care"
0.0557610003928026,227,"Linear","PSX","health care"
0.00592454969542462,227,"GP","PSX","health care"
0.0622831052729046,228,"Linear","PSX","health care"
0.00794565743863839,228,"GP","PSX","health care"
0.0658177501069291,229,"Linear","PSX","health care"
0.0080937855759458,229,"GP","PSX","health care"
0.0642243380797046,230,"Linear","PSX","health care"
0.00745997667037424,230,"GP","PSX","health care"
0.055951248484076,231,"Linear","PSX","health care"
0.00371178333658764,231,"GP","PSX","health care"
0.0610368336257152,232,"Linear","PSX","health care"
0.00470247220807763,232,"GP","PSX","health care"
0.0671274740684207,233,"Linear","PSX","health care"
0.00602700077758421,233,"GP","PSX","health care"
0.063738417320493,234,"Linear","PSX","health care"
0.00468482646357774,234,"GP","PSX","health care"
0.0632448479135823,235,"Linear","PSX","health care"
0.00403601449897238,235,"GP","PSX","health care"
0.0616902807531367,236,"Linear","PSX","health care"
0.00320129160318569,236,"GP","PSX","health care"
0.0578980947870916,237,"Linear","PSX","health care"
0.00216569720695056,237,"GP","PSX","health care"
0.0607456395670417,238,"Linear","PSX","health care"
0.00248930173316355,238,"GP","PSX","health care"
0.0629686591692746,239,"Linear","PSX","health care"
0.00278190335566766,239,"GP","PSX","health care"
0.0901154031306851,240,"Linear","PSX","health care"
0.00981558885922876,240,"GP","PSX","health care"
0.0730906706178078,241,"Linear","PSX","health care"
0.00414622727086689,241,"GP","PSX","health care"
0.102854864149768,242,"Linear","PSX","health care"
0.0129556722165006,242,"GP","PSX","health care"
0.0914704479190554,243,"Linear","PSX","health care"
0.00800054929545578,243,"GP","PSX","health care"
0.0946779256892367,244,"Linear","PSX","health care"
0.00794817759530824,244,"GP","PSX","health care"
0.10648470955577,245,"Linear","PSX","health care"
0.0107226721775781,245,"GP","PSX","health care"
0.108609813992947,246,"Linear","PSX","health care"
0.0101899476061816,246,"GP","PSX","health care"
0.0807174464572078,247,"Linear","PSX","health care"
0.00311349847650489,247,"GP","PSX","health care"
0.0750245847983505,248,"Linear","PSX","health care"
0.00147645101854724,248,"GP","PSX","health care"
0.102140131473464,249,"Linear","PSX","health care"
0.00685119145227336,249,"GP","PSX","health care"
0.0744281187360114,250,"Linear","PSX","health care"
0.00100684105585277,250,"GP","PSX","health care"
0.0544577290010914,251,"Linear","PSX","health care"
8.15002192935696e-05,251,"GP","PSX","health care"
0.0550227673803171,252,"Linear","PSX","health care"
4.05428261606372e-05,252,"GP","PSX","health care"
0.0414436758267866,253,"Linear","PSX","health care"
0.00141017768888955,253,"GP","PSX","health care"
0.0163536482584801,254,"Linear","PSX","health care"
0.0123441422648374,254,"GP","PSX","health care"
0.00849823703795544,255,"Linear","PSX","health care"
0.0186579796116531,255,"GP","PSX","health care"
0.0153522118312629,256,"Linear","PSX","health care"
0.0103803114659386,256,"GP","PSX","health care"
0.0097023065156851,257,"Linear","PSX","health care"
0.0134154257757105,257,"GP","PSX","health care"
0,258,"Linear","PSX","health care"
0,258,"GP","PSX","health care"
0,259,"Linear","PSX","health care"
0,259,"GP","PSX","health care"
0.0444015722538224,1,"Linear","PFE","health care"
0.00262338259428572,1,"GP","PFE","health care"
0.042182271517127,2,"Linear","PFE","health care"
7.7919497765404e-05,2,"GP","PFE","health care"
0.0307791742411539,3,"Linear","PFE","health care"
0.000144936987242762,3,"GP","PFE","health care"
0.0267904308337071,4,"Linear","PFE","health care"
8.74162448596876e-05,4,"GP","PFE","health care"
0.0308956738107685,5,"Linear","PFE","health care"
0.00019528755940836,5,"GP","PFE","health care"
0.0290960820923374,6,"Linear","PFE","health care"
2.09854781660039e-05,6,"GP","PFE","health care"
0.0226869173036943,7,"Linear","PFE","health care"
0.000103619195152299,7,"GP","PFE","health care"
0.0233827088673576,8,"Linear","PFE","health care"
0.000549699705029153,8,"GP","PFE","health care"
0.0172626613484899,9,"Linear","PFE","health care"
0.00144747689877833,9,"GP","PFE","health care"
0.0143515427376666,10,"Linear","PFE","health care"
0.00143810802309355,10,"GP","PFE","health care"
0.00328911809483554,11,"Linear","PFE","health care"
0.00969724515184559,11,"GP","PFE","health care"
0.00235382800702775,12,"Linear","PFE","health care"
0.0106715076738929,12,"GP","PFE","health care"
0.00237633189196066,13,"Linear","PFE","health care"
0.00837103591323313,13,"GP","PFE","health care"
0.00239884428795635,14,"Linear","PFE","health care"
0.00781427942472537,14,"GP","PFE","health care"
0.00266983167970355,15,"Linear","PFE","health care"
0.0064592013750784,15,"GP","PFE","health care"
0.000176923048778415,16,"Linear","PFE","health care"
0.0126980031936121,16,"GP","PFE","health care"
7.56128121072904e-06,17,"Linear","PFE","health care"
0.0149109966824322,17,"GP","PFE","health care"
1.56775827104879e-05,18,"Linear","PFE","health care"
0.0130434388669796,18,"GP","PFE","health care"
9.24264447927357e-05,19,"Linear","PFE","health care"
0.00955811059769973,19,"GP","PFE","health care"
0.000214118034746593,20,"Linear","PFE","health care"
0.0128075049679965,20,"GP","PFE","health care"
0.000464107436906286,21,"Linear","PFE","health care"
0.0123504525592053,21,"GP","PFE","health care"
0.000477787054840761,22,"Linear","PFE","health care"
0.00989509629536311,22,"GP","PFE","health care"
5.46702140331275e-05,23,"Linear","PFE","health care"
0.00604163844554633,23,"GP","PFE","health care"
0.000511366637453472,24,"Linear","PFE","health care"
0.00208420792517774,24,"GP","PFE","health care"
0.000871152101409332,25,"Linear","PFE","health care"
0.00118245028455664,25,"GP","PFE","health care"
0.000335909448695156,26,"Linear","PFE","health care"
0.00174086895379916,26,"GP","PFE","health care"
0.000189117473379587,27,"Linear","PFE","health care"
0.00140278412139819,27,"GP","PFE","health care"
0.00019937514465829,28,"Linear","PFE","health care"
0.00130099628066783,28,"GP","PFE","health care"
2.97613889574539e-05,29,"Linear","PFE","health care"
0.00181584468298129,29,"GP","PFE","health care"
0.000773183561319446,30,"Linear","PFE","health care"
0.00478251324094984,30,"GP","PFE","health care"
0.00011786890180606,31,"Linear","PFE","health care"
0.00225617417313561,31,"GP","PFE","health care"
1.85518801086516e-06,32,"Linear","PFE","health care"
0.00115063014126647,32,"GP","PFE","health care"
3.43557506820662e-05,33,"Linear","PFE","health care"
0.000512040806478896,33,"GP","PFE","health care"
2.76258674233641e-05,34,"Linear","PFE","health care"
0.000200695222312752,34,"GP","PFE","health care"
0.000153886621954459,35,"Linear","PFE","health care"
0.00116593519464324,35,"GP","PFE","health care"
